tweet,subtask_a,subtask_b,subtask_c
समोरचा आपल्याला काय समजतो ते जाणून घेणे खूप महत्वाचं असतं नाहीतर आपण नाती सांभाळत बसतो आणि समोरचा बुद्धिबळाच्या चाली खेळून…,not offensive,NULL,NULL
या मिडीया ला कोणीतरी समजावून सांगा रे देशाला रियाची गरज नाही तर शेतकर्‍यांना यु रिया ची व युवकांना नोकरी ची गरज आहे…,not offensive,NULL,NULL
बुधवारचा कॉलम – फोकस – सोनेरी सिंहाचे लाल ड्रॅगनला आव्हान,not offensive,NULL,NULL
कबीर कलामंचाच्या सागर गोरखे आणि रमेश गायचोर यांना कडून अटक,not offensive,NULL,NULL
प्रत्येक मुलीचं आयुष्य • जन्म • काका ह्यात पिंक कलर दाखवा ना • मृत्यू,not offensive,NULL,NULL
मराठा आरक्षण प्रकरण विस्तारित खंडपीठाकडे सोपवलं गेलं आहे पण मराठा आरक्षणाला तात्पुरती स्थगिती देण्यात आली आहे यावर विरोधी व स…,not offensive,NULL,NULL
वी आणि वी च्या विद्यार्थ्यांना अभ्यास लक्षात राहण्यासाठी काही महत्वाच्या सूचना सांगणारा हा लेख जरूर वाचा आणि…,not offensive,NULL,NULL
आयुष्यात खूप दुःख असतील पण सर्वात जास्त दुःख दुसऱ्यांकडून अपेक्षा ठेवल्यामुळेच येतात अपेक्षा बंद केली की दुःख आपोआप क…,not offensive,NULL,NULL
मुंबई आपली आहे आणी ईथे आवाजही आपलाच हवा,not offensive,NULL,NULL
ओंकार स्वरूपा च्या भक्तीने आणि ऋतू हिरवा च्या सरींनी चिंब करणारे श्रीश्रीधर सुधीर फडकेजी जन्मदिन अभिष्टचिंत…,not offensive,NULL,NULL
सध्याची आर्थिक महामंदी अधिक धोकादायक आहे की आणि साली आलेली बौद्धिक महामंदी अधिक धोकादायक आहे? आर्थिक…,not offensive,NULL,NULL
असो खरं तर ज्यांच्याकडून सगळ्यात जास्त अपेक्षा असते त्यांनीच जर अपे…,not offensive,NULL,NULL
कर्जाच्या खाईत ढकलण्याचा मोदी सरकारचा प्रयत्न उद्धव ठाकरे मुख्यमंत्री उद्धव ठाकरे यांचा मोदी सरकारवर आरोप,not offensive,NULL,NULL
जगात आज पण आम्ही स्कॉटलंड यार्ड नंतर दुसरी भारी पोलिस कुठली म्हटलं तर एकच नाव निघत मुंबईपोलीस पण राजकीय नेत्यांनी…,not offensive,NULL,NULL
ह्यावरून एकच सिद्ध होत आहे की तुम्ही नक्कीच अंध भक्त आहात किंवा पत्रकारिता तुम्ही फक्त दुजाभाव म्हणून…,not offensive,NULL,NULL
अर त्या घंटा नाद आंदोलनाचे पुढं काय झालं रे का अमित शहांच्या आदेशावरून सगळे त्या कंगणाला सिक्योरिटी दयायला…,not offensive,NULL,NULL
ति स्वता चा जिव वाचु शकली असती परंतु आईची माया आईची माया जग तिच्या पाया ना दुसरे दैवत काही तु…,not offensive,NULL,NULL
जिवनामध्ये स्वतःला न पटणार्‍या गोष्टी स्पष्टपणे जो नाकारू शकतो त्याला कधीच पश्चाताप करण्याची वेळ येत नाही,not offensive,NULL,NULL
चे स्पेकस् इच फुल्ल डिस्प्ले मिडियाटेक हेलिओ चिपसेट मेगापिक्सेल असा कॅमेरा सेटअप…,not offensive,NULL,NULL
काल मि एकटाच होतोआज या मि…,not offensive,NULL,NULL
ही असं जर इतर तमिळनाडू कर्नाटक राज्यात बोलली असती तर तिथले लोकच रस्त्यात धरून तुकडे तुकडे केले असतेपण…,not offensive,NULL,NULL
हे जाम भारी आहे मुंबई आणि महाराष्ट्रावर प्रेम करणाऱ्या प्रत्येक माणसाने ऐकायला हवं एका अमराठी माणसाच्या भावना…,not offensive,NULL,NULL
आजच्या जनता दरबारात जळगाव जिल्ह्यातील चाळीसगावचे रहिवासी माजी सैनिक सोनू महाजन आले होते २०१६ साली भाजपचे तत्कालीन आम…,not offensive,NULL,NULL
नाही पुर्ण करत आता मी माझ्या मनाचे लाड खुप झालं आताइकडे विहीर आणि तिकडे आड,not offensive,NULL,NULL
हे ऑनलाईन लेक्चर म्हणजे ना घर का ना घाट का सारखी हालत झाली आहे सारखी जात्या नुसत आयकु येतंय काही स…,not offensive,NULL,NULL
एवढ अभ्यासपूर्ण बोलायला सांगा शरद आणि उद्ध्वस्त ला बोबडी वळेल एक शब्द तोंडातून फुटणा…,not offensive,NULL,NULL
ब्रेकिंग न्यूज च्या स्पर्धे मध्ये ला पछाडून क्रमांक १ वर कोरोना कसाबसा ३ ऱ्या स्थानी टिकून त्यां…,not offensive,NULL,NULL
विशिष्ट संघी नागपूरकर आणि पाकिस्तानी पंजाब्यांमध्ये हे एक खूप मोठे सा…,not offensive,NULL,NULL
स्नेह म्हणजे जन्मजन्मांची साधलेला जीवनचा मेळ असतो त्याचा उगम शोधायचा नसतो आणि अंत कल्पायचा नसतोस्नेह केवळ अनुभव…,not offensive,NULL,NULL
त्याचाच एक भाग म्हणून योजनेतील नागरिकांना तात्पुरत्या निवासासाठी एमआरडीएच्या भाडेतत्त्वावरील सदनिका आणि महापालिकेमा…,not offensive,NULL,NULL
मूर्ति मंदिर सोडून गेली मग राहीले शेष काय आता,not offensive,NULL,NULL
कोण आहे हा खेळाडू??,not offensive,NULL,NULL
ब्रॉड म्हणतो या इंग्लंडच्या क्रिकेटरला वनडेत तोड नाही,not offensive,NULL,NULL
हरित क्रांतीमुळे जास्त पाणी लागणारी पिके अधिक प्रमाणात घेतली जाऊ लागली त्यामुळे स्वाभाविकपणे पाण्याची मागणीही वाढ…,not offensive,NULL,NULL
आयपीएल २०२० दरम्यान आयपीएल स्पर्धेबाबत कोणताही ट्विट करताना सर्व मराठी ट्विटरकरांनी एकच हॅशटॅग वापरुयात जेणेकरुन आ…,not offensive,NULL,NULL
